;;;;;;;Human;Human;Human;Elenco;Elenco;Elenco;Espião Estatístico;Espião Estatístico;Espião Estatístico;UFMG;UFMG;UFMG;Chance de Gol;Chance de Gol;Chance de Gol;Five-Thirty-Eight;Five-Thirty-Eight;Five-Thirty-Eight;MaiaE0;MaiaE0;MaiaE0;Betting House;Betting House;Betting House
date;round;home_team;home_score;away_score;away_team;result;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A
12/06/2021;3;Santos;0;0;Juventude;D;0.64;0.22;0.14;0.71;0.18;0.11;0.56;0.25;0.19;0.39;0.355;0.255;0.494;0.24;0.266;0.61;0.22;0.17;0.75871751344296;0.16526569782013;0.0760167887369101;0.6728;0.2093;0.1177
13/06/2021;3;Atlético-MG;1;0;São Paulo;H;0.46;0.29;0.25;0.52;0.27;0.21;0.51;0.26;0.23;0.4122;0.2634;0.3244;0.403;0.243;0.354;0.49;0.24;0.27;0.457755232778243;0.26038624803395;0.281858519187807;0.4212;0.2916;0.2871
13/06/2021;3;Grêmio;0;1;Athletico-PR;A;0.51;0.27;0.22;0.49;0.26;0.25;0.39;0.34;0.27;0.38;0.285;0.335;0.596;0.25;0.154;0.52;0.25;0.23;0.460617318431999;0.28836707742802;0.251015604139982;0.524;0.2774;0.1985
13/06/2021;3;Bragantino;2;2;Fluminense;D;0.49;0.28;0.23;0.48;0.27;0.25;0.36;0.3;0.34;0.32;0.44;0.24;0.402;0.28;0.318;0.47;0.26;0.27;0.535676521601386;0.256310894987352;0.208012583411261;0.4228;0.2973;0.2798
13/06/2021;3;Bahia;0;1;Internacional;A;0.42;0.3;0.28;0.54;0.23;0.23;0.4;0.31;0.29;0.4666;0.2667;0.2667;0.369;0.243;0.388;0.36;0.25;0.39;0.36982537844635;0.259032899562682;0.371141721990968;0.3308;0.2967;0.3723
13/06/2021;3;Fortaleza;1;0;Sport;H;0.53;0.29;0.18;0.62;0.22;0.16;0.53;0.25;0.22;0.39;0.355;0.255;0.687;0.231;0.081;0.5;0.26;0.24;0.550331567076943;0.263988055030544;0.185680377892513;0.4907;0.2814;0.2278
13/06/2021;3;Flamengo;2;0;América-MG;H;0.72;0.18;0.1;0.74;0.18;0.08;0.47;0.24;0.29;0.4666;0.2667;0.2667;0.654;0.216;0.13;0.82;0.12;0.06;0.781390125999273;0.157942845161401;0.0606670288393256;0.7349;0.171;0.094
13/06/2021;3;Chapecoense;0;0;Ceará;D;0.31;0.36;0.33;0.45;0.26;0.29;0.29;0.35;0.36;0.4122;0.2634;0.3244;0.307;0.263;0.43;0.36;0.25;0.39;0.309574273492443;0.276990864448702;0.413434862058855;0.2941;0.3086;0.3971
21/07/2021;3;Cuiabá;2;1;Atlético-GO;H;0.42;0.31;0.27;0.5;0.27;0.23;;;;0.34;0.355;0.305;0.337;0.285;0.378;0.43;0.28;0.28;0.403570185150632;0.294409963061797;0.302019851787571;0.3387;0.2964;0.3648
16/06/2021;4;São Paulo;1;1;Chapecoense;D;0.78;0.12;0.1;0.64;0.23;0.13;0.45;0.36;0.19;0.3966;0.3517;0.2517;0.709;0.183;0.108;0.63;0.22;0.15;0.651780082681475;0.226709705937228;0.121510211381297;0.7003;0.1961;0.1035
16/06/2021;4;Internacional;0;1;Atlético-MG;A;0.39;0.32;0.29;0.42;0.27;0.31;0.35;0.27;0.38;0.34;0.355;0.305;0.414;0.247;0.339;0.43;0.25;0.32;0.511714790847817;0.244065859567746;0.244219349584437;0.3717;0.2903;0.3379
16/06/2021;4;Corinthians;1;2;Bragantino;A;0.33;0.36;0.31;0.49;0.25;0.26;0.33;0.27;0.4;0.3205;0.3404;0.3391;0.387;0.29;0.323;0.41;0.26;0.33;0.385224551592733;0.288380845934666;0.3263946024726;0.3321;0.31;0.3577
16/06/2021;4;Juventude;0;3;Palmeiras;A;0.14;0.22;0.64;0.25;0.27;0.48;0.19;0.28;0.53;0.4122;0.2634;0.3244;0.202;0.276;0.522;0.23;0.24;0.53;0.130263652329498;0.231533293472964;0.638203054197538;0.1859;0.2734;0.5405
17/06/2021;4;Ceará;1;2;Bahia;A;0.44;0.3;0.26;0.46;0.26;0.28;0.4;0.3;0.3;0.39;0.355;0.255;0.457;0.251;0.292;0.46;0.25;0.29;0.4989624996487;0.245482911906379;0.255554588444921;0.4146;0.3109;0.2743
17/06/2021;4;América-MG;0;0;Cuiabá;D;0.5;0.26;0.24;0.45;0.28;0.27;0.44;0.33;0.23;0.4122;0.2634;0.3244;0.516;0.292;0.192;0.45;0.26;0.29;0.393702408990172;0.343962034582518;0.26233555642731;0.4633;0.2895;0.2471
